doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1007/JHEP01(2024)176,2728701,Constraining the Higgs trilinear coupling from an SU(2) quadruplet with bounded-from-below conditions,1,JHEP,01,2024,176,,2311.17995,https://inspirehep.net/record/2728701
10.1103/PhysRevLett.132.141401,2719830,"Pathological Character of Modifications to Coincident General Relativity: Cosmological Strong Coupling and Ghosts in <math display=""inline""><mrow><mi>f</mi><mo stretchy=""false"">(</mo><mi mathvariant=""double-struck"">Q</mi><mo stretchy=""false"">)</mo></mrow></math> Theories",4,Phys.Rev.Lett.,132,2024,,,2311.04201,https://inspirehep.net/record/2719830
10.1088/1475-7516/2024/02/040,2709913,Quintessence in the Weyl-Gauss-Bonnet model,4,JCAP,02,2024,040,,2310.08128,https://inspirehep.net/record/2709913
10.1007/JHEP02(2024)207,2734072,Phase transitions and gravitational waves in a model of $\mathbb{Z}_{3}$ scalar dark matter,4,JHEP,02,2024,207,,2312.04627,https://inspirehep.net/record/2734072
10.1088/1475-7516/2024/03/016,2726612,On the absence of ghosts in quadratic bigravity,2,JCAP,03,2024,016,,2311.14799,https://inspirehep.net/record/2726612
10.1088/1475-7516/2024/03/041,2617443,Beyond (and back to) Palatini quadratic gravity and inflation,3,JCAP,03,2024,041,,2212.11869,https://inspirehep.net/record/2617443
10.1088/1475-7516/2024/06/033,2772098,Natural metric-affine inflation,2,JCAP,06,2024,033,,2403.18004,https://inspirehep.net/record/2772098
10.1016/j.dark.2024.101509,2674798,"Palatini <math altimg=""si6.svg"" display=""inline"" id=""d1e606""><mrow><mi>F</mi><mrow><mo>(</mo><mi>R</mi><mo>,</mo><mi>X</mi><mo>)</mo></mrow></mrow></math>: A new framework for inflationary attractors",2,Phys.Dark Univ.,45,2024,,,2307.02963,https://inspirehep.net/record/2674798
10.1088/1475-7516/2024/06/005,2768414,Inflation and reheating in quadratic metric-affine gravity with derivative couplings,3,JCAP,06,2024,005,,2403.08530,https://inspirehep.net/record/2768414
10.1016/j.physletb.2024.138880,2793043,Generalized uncertainty principle and neutrino phenomenology,3,Phys.Lett.B,856,2024,,,2405.20925,https://inspirehep.net/record/2793043
10.1051/0004-6361/202348672,2762757,Dissecting a miniature universe: A multi-wavelength view of galaxy quenching in the Shapley supercluster,6,Astron.Astrophys.,689,2024,A332,,2402.18455,https://inspirehep.net/record/2762757
10.1103/PhysRevD.110.023040,2784830,Constraints on primordial black holes from LIGO-Virgo-KAGRA O3 events,7,Phys.Rev.D,110,2024,,,2405.05732,https://inspirehep.net/record/2784830
10.1088/1475-7516/2024/10/050,2803138,Curbing PBHs with PTAs,4,JCAP,10,2024,050,,2406.20089,https://inspirehep.net/record/2803138
10.1093/mnras/stae2389,2869591,Wide Area VISTA Extra-galactic Survey (WAVES): unsupervised star-galaxy separation on the WAVES-Wide photometric input catalogue using UMAP and hdbscan,16,Mon.Not.Roy.Astron.Soc.,535,2024,2129,2148,2406.11611,https://inspirehep.net/record/2869591
